ltla	pop
E09000031	276940
E09000019	248115
E06000015	256814
E06000051	404860
E06000054	620358
E09000025	355266
E07000194	105637
E07000134	104809
E09000012	280941
E08000003	555741
E07000151	86951
E07000078	212667
E07000146	151245
E08000019	661636
E09000008	477105
E07000094	261445
E08000026	379387
E07000066	187558
E06000030	222881
E09000007	279516
E08000011	152452
E08000032	599466
E08000025	1205977
E07000216	126556
E06000050	343823
E06000025	495826
E09000011	289034
E06000034	175531
E08000014	275899
E07000199	76864
E06000055	174687
E08000012	500474
E07000174	109351
E07000219	130373
E06000059	379791
E09000003	399007
E07000212	90327
E07000141	183701
E09000016	337893
E06000044	331030
E08000029	217487
E07000109	106890
E07000241	123893
E06000052	698157
E06000011	507567
E06000010	259126
E07000113	151015
E08000016	248071
E06000060	642552
E09000006	332752
E08000017	312785
E09000018	271767
E07000243	88104
E08000009	237579
E07000010	102080
E06000032	213528
E06000041	271553
E07000065	162733
E07000064	308209
E08000008	319750
E07000228	152142
E08000035	1052028
E07000063	103525
E07000211	149243
E08000005	223659
E07000207	137215
E09000005	327753
E07000221	132402
E09000022	321813
E07000192	101484
E09000014	266357
E09000023	305309
E07000070	179549
E07000115	132571
E07000108	118514
E07000153	102211
E07000240	149317
E07000189	168696
E06000035	279142
E08000030	286716
E07000099	133463
E07000222	144909
E07000149	143066
E09000030	331969
E08000028	329042
E07000073	87280
E07000197	137858
E09000002	214107
E06000020	181322
E07000132	113666
E06000031	297729
E08000010	330712
E07000036	115332
E07000213	99873
E07000095	97592
E07000246	484961
E07000181	111758
E09000020	156864
E06000027	136218
E07000091	179649
E07000090	126339
E07000208	81003
E09000024	206453
E07000148	142177
E08000027	322363
E09000001	10938
E07000144	131931
E07000011	178985
E09000017	309014
E09000021	179142
E07000210	87547
E07000179	143782
E07000076	147353
E07000209	150352
E07000092	94387
E09000015	252338
E06000039	149577
E07000214	89204
E07000143	141255
E06000056	294096
E09000028	320017
E07000106	166762
E08000006	262697
E06000023	465866
E07000074	65401
E06000021	256622
E08000034	441290
E09000029	207707
E07000096	155457
E07000111	121387
E07000229	110727
E07000038	102216
E08000018	346289
E09000032	329735
E06000043	355925
E06000012	397580
E07000154	224290
E06000013	172748
E09000004	249301
E08000007	294197
E07000026	165872
E06000047	841873
E08000015	324336
E06000004	475932
E06000018	573141
E08000004	237628
E08000036	351592
E09000010	333587
E07000122	92145
E07000028	108524
E07000032	128829
E08000013	181095
E06000040	151273
E06000033	182773
E07000202	135979
E06000007	209397
E07000067	153091
E07000077	92759
E06000042	350284
E08000031	264407
E07000088	84679
E07000012	285967
E07000102	93966
E06000049	386667
E07000242	151786
E07000123	287384
E06000009	138381
E07000039	109516
E07000130	239810
E09000033	269848
E07000075	87627
E07000150	73053
E07000138	100049
E08000021	306824
E07000118	118870
E09000026	305658
E07000245	267474
E07000061	103324
E07000200	92735
E08000002	190708
E07000110	173132
E09000013	183544
E06000037	158465
E07000045	268372
E07000098	105471
E06000008	413681
E06000024	215574
E06000014	302944
E07000220	110650
E07000203	104857
E07000173	118239
E06000057	323820
E06000016	506886
E09000027	198141
E06000036	124165
E07000027	66726
E07000071	197200
E06000006	129759
E07000127	114496
E06000045	252872
E09000009	340341
E06000046	142296
E07000105	131018
E07000178	151584
E08000033	300783
E07000114	141458
E07000081	129709
E07000084	177760
E07000079	90264
E07000107	114051
E07000072	132175
E06000026	350785
E07000103	96623
E07000195	129610
E07000198	98427
E07000226	112474
E07000244	250373
E06000058	396989
E07000193	120923
E08000023	151133
E07000171	118280
E07000180	137910
E06000022	196357
E07000175	123127
E07000139	118149
E07000093	127163
E07000237	100265
E07000188	123446
E07000239	232223
E07000234	186137
E07000196	112369
E08000024	277846
E08000001	288248
E07000034	104930
E07000069	90524
E07000140	95857
E07000147	105167
E07000121	253024
E07000085	123838
E06000019	193615
E08000022	208871
E07000177	151846
E07000224	161123
E07000129	101950
E07000145	99198
E07000227	266982
E07000170	128337
E07000128	113067
E06000038	160337
E07000217	100008
E07000112	113320
E08000037	201950
E07000136	70837
