ltla	eigenCentral
E08000025	0.004262988214984196
E08000018	0.0002167013932016276
E08000027	0.0006282433817540763
E07000089	0.0003321722784569933
E07000179	0.0013157129290988407
E09000008	0.0839582511377282
E09000010	0.09152367894418821
E09000003	0.14334719681683675
E07000240	0.0031130125104432997
E06000049	0.0014632883216644512
E06000054	0.0007683805249277933
E07000110	0.0008334377083798466
E07000068	0.0015927941282779365
E08000021	0.00046031375697784185
E09000013	0.17046900513531263
E07000040	5.4293027093363486e-05
E08000033	2.3038660658526955e-05
E07000109	0.0015645840100336152
E09000033	0.47197919147125106
E09000006	0.06768438254146913
E09000014	0.18076278092058815
E07000187	2.627910693596101e-05
E07000041	0.0008334306108953501
E06000023	0.002683073155885853
E07000241	0.001747363411317264
E06000032	0.0049320341800985655
E07000152	0.0002060540891478431
E08000029	0.0016343971827057482
E09000018	0.05067263664986174
E07000239	1.3009281184812874e-05
E07000220	0.0006776584555128616
E08000031	0.0006011268150096722
E08000028	0.001449906967899956
E09000009	0.11857212251989062
E07000221	2.952370864497194e-05
E08000007	0.0021634169077179273
E07000032	3.2246674806069295e-05
E06000060	0.007192855998397596
E06000031	0.002027523542870981
E06000016	0.0008771439962764041
E06000021	0.00040348296385578055
E09000015	0.0731660600667396
E08000036	0.00036799035984418923
E07000132	2.4482479606220654e-05
E07000134	1.3146300800890834e-05
E07000180	0.00019718416659690637
E06000020	7.811786045279768e-06
E08000009	0.0020804777051944574
E07000102	0.0029369635100584537
E07000237	4.7408432850737564e-05
E06000015	0.0005435341535759378
E07000172	0.00017024759248944734
E08000030	0.0005203636988795294
E08000035	0.0014106223736042184
E08000010	0.00039166885418414585
E08000004	0.0009488950611543357
E07000246	0.0004106702262367536
E08000026	0.0009695552162910975
E07000219	0.00019107618276829584
E07000236	5.270131592802094e-05
E08000001	0.0005996524677059847
E07000238	8.697974963302718e-06
E07000194	0.00016166191199537493
E07000192	4.219990656325814e-05
E06000051	8.70380766873261e-06
E06000003	7.631155484355087e-07
E08000005	0.0006970476852606128
E07000151	0.00016220486036148848
E07000129	0.00018715384227255825
E07000096	0.0017530327582151682
E07000114	0.00032998438490960497
E07000218	0.00013171383272418991
E06000018	0.0009877550428215348
E07000234	0.0004783976911500105
E06000056	0.00296524120319435
E06000019	2.1630177047015933e-06
E09000021	0.020380322267363957
E07000202	0.0005433189454672325
E07000103	0.00959423568658451
E07000026	1.7609717507154226e-06
E09000024	0.09083430844225412
E09000022	0.17152355658504342
E07000095	0.0074152097469423065
E06000057	0.0001351539829282271
E06000047	0.00034641739521627443
E08000022	8.545159194403926e-05
E07000036	7.165156494348938e-05
E06000005	0.00045507380998045376
E07000178	0.00227581647925049
E09000025	0.1798297979977197
E08000003	0.005311738045999032
E08000024	9.644512995579436e-05
E07000229	0.00016567788226434367
E07000061	0.00046655801994847695
E06000014	0.0013104537131545717
E09000019	0.21825040969006845
E06000046	6.992020782185106e-06
E06000041	0.00045743931639359857
E06000058	0.0004305484694082263
E08000032	0.00021989988115643226
E07000242	0.0010452050533850243
E09000032	0.19004281536896495
E09000012	0.2226711212432062
E09000029	0.035851615597272186
E09000023	0.13460689011804117
E07000155	0.00013844237425074713
E06000007	0.00021798321497289345
E07000213	0.009314200316225464
E06000004	5.4980463731551e-06
E08000006	0.0026327911610918527
E07000163	0.00024444079364986193
E06000059	0.0001273845287504358
E09000028	0.3932884040802031
E07000130	0.00034168558820585343
E09000005	0.13688494033809037
E07000065	0.00017071286890816292
E07000106	0.0022113563312908904
E07000039	3.4461614305183674e-05
E07000011	0.0008542086360068388
E08000023	NA
E08000019	0.0007979641733578082
E06000044	0.0012018842522221217
E07000165	2.4739966543298097e-05
E06000013	2.422302937653609e-06
E07000071	0.0007759588392386202
E07000154	0.0015471051136458425
E06000035	0.002846567532819919
E07000215	0.004806422062533822
E08000037	0.0014179985737373885
E07000098	0.011914619722624928
E08000014	0.00026137676923306344
E07000131	0.00048324521373112285
E09000017	0.0664830623380409
E06000055	0.0012988121674502727
E07000099	0.001332801344746491
E06000043	0.003134097836952786
E07000199	0.0001715348566671704
E08000017	0.0014506218226890536
E08000016	5.342076872807663e-05
E09000016	0.02766488828280565
E07000140	1.3056505327240103e-05
E09000030	0.23272696302450316
E06000045	0.000997628546072722
E07000093	0.001179132988101702
E09000002	0.037981983306085904
E07000243	0.0014537283250214933
E09000004	0.029137986722664107
E07000081	0.00023447310396949877
E09000026	0.09497166922352204
E08000034	0.00014979527284889475
E07000044	3.394763720613455e-05
E06000026	0.0004634009030922839
E07000150	0.00021968174095186882
E07000067	0.0003271810497272492
E07000133	1.5697771632840078e-05
E07000070	0.0015273060613387492
E07000113	0.0007681497843509286
E06000042	0.0033616192951083754
E07000169	1.3070134499716354e-05
E07000170	4.5772389830108015e-05
E07000198	5.018721881783572e-05
E07000195	0.00011030071337423982
E07000122	3.554342197296115e-06
E07000107	0.008796128765971994
E07000034	0.00021538696490742734
E07000216	0.0015155912037440999
E07000085	0.00030231763949676064
E08000012	0.0016159251452255254
E07000209	0.0024716960225270312
E06000033	0.0011353745674725127
E06000012	3.8036551711116265e-07
E07000063	0.00036582328343366644
E07000038	7.417232959617222e-05
E07000222	0.000517402999716792
E07000196	7.329731405651497e-05
E06000008	2.5707119846890282e-05
E07000066	0.0019574827694697015
E08000013	5.700625798842713e-05
E07000245	3.973483625885527e-05
E07000086	0.0006905989785801121
E07000141	0.000611001182127347
E06000039	0.006717949744044241
E07000173	0.000194527722880114
E09000031	0.09364610826092501
E07000214	0.00020984825032838538
E07000136	1.625148874444239e-07
E07000137	4.858316650697801e-08
E07000226	0.006696506904597788
E09000007	0.38168723550759537
E07000135	8.643007351586464e-05
E07000224	1.3327317047175483e-05
E07000197	0.0003773696606552077
E06000036	0.000439961622459499
E07000193	1.4853590460748155e-05
E07000149	9.380552415125151e-05
E06000030	0.0009828312468715562
E07000211	0.005646129364458716
E07000177	0.0015587222883492622
E06000024	0.00021293278419408409
E07000115	0.002360931645598326
E07000117	7.939705133070858e-06
E07000082	5.83310410967719e-05
E09000027	0.049847495609378
E07000073	0.001021373094104098
E06000011	0.00027195300121084524
E07000148	0.0006750448709298164
E07000128	6.265066975368432e-05
E06000002	5.788738365593474e-06
E07000175	0.00034453790126638114
E07000090	0.0010105885507860424
E06000025	0.0013066323462836182
E08000011	0.0003473979000990028
E06000050	0.00010189304647630158
E07000217	0.0023841050226266315
E07000139	1.7013900414632306e-06
E06000006	3.510956161055901e-05
E07000008	0.00302677652022649
E07000111	0.002575041298632042
E07000174	2.872324639667446e-05
E07000244	4.7769745510768607e-05
E07000120	7.6133169116901985e-06
E07000181	2.0574757599958807e-05
E07000212	0.0008294087042037875
E07000037	0.00013202421051469775
E07000210	0.000517599353262003
E07000235	2.2679336285029143e-06
E06000034	0.005673993849732443
E07000072	0.013143392616715243
E07000047	4.476703918552707e-05
E07000012	0.0003542366169489627
E07000207	0.0040564226597402265
E07000108	0.00023608694463249152
E07000083	2.1449821790291376e-05
E09000020	0.14034296628808035
E06000022	0.0011817138178378914
E07000203	2.7775615885965502e-05
E07000145	6.348252572700991e-06
E07000208	0.0039534952145758315
E07000168	6.610312286251395e-06
E09000011	0.08897605337824038
E07000077	0.0037651546267784114
E08000015	8.773757078237956e-05
E07000146	0.00025965132800817695
E07000225	3.46837448938617e-05
E07000143	6.110508586290657e-06
E07000078	1.9170242113050177e-05
E07000123	0.0008352071804019358
E07000126	0.00012473219560243967
E06000001	4.111581639080059e-06
E07000069	0.00045066736362647385
E07000200	3.9159683291851406e-05
E07000164	3.281819397611133e-05
E06000027	4.607184662539066e-05
