ltla	residual
E06000004	1.0
E06000006	23.89366019660974
E06000007	23.16104345286169
E06000008	18.155778440271618
E06000009	17.525764798952174
E06000010	40.72758848948415
E06000011	23.7336177845242
E06000012	30.078134117979552
E06000013	18.7734440656398
E06000014	25.390695335450765
E06000015	24.17285871411133
E06000016	27.416311350218855
E06000018	24.49282112942427
E06000019	26.368333496042094
E06000020	31.393851800234486
E06000021	33.85474310611852
E06000022	23.97986688471447
E06000023	24.010898823276946
E06000024	27.37006335002534
E06000025	28.22774042381527
E06000026	51.23322806702848
E06000027	32.388120884470304
E06000030	27.737160895484596
E06000031	49.94497174629693
E06000032	34.39617063372788
E06000033	30.05418715563774
E06000034	28.414022082587287
E06000035	32.75621006267875
E06000036	24.83256910914638
E06000037	22.975117918443946
E06000038	27.168468159879936
E06000039	25.436722202908534
E06000040	23.87651202810092
E06000041	27.420499072634616
E06000042	47.24052122607427
E06000043	35.785784804052724
E06000044	32.66141488798352
E06000045	32.15533567913104
E06000046	21.92984699791699
E06000047	22.589115517251187
E06000049	23.255304451815494
E06000050	22.03780039127902
E06000051	26.31842869550377
E06000052	51.939305556283784
E06000054	40.41013248924539
E06000055	32.07094100293384
E06000056	35.2379226739692
E06000057	17.457562315502024
E06000058	25.04282970481962
E06000059	23.012591509864215
E06000060	47.94618013232986
E07000010	31.36087563658911
E07000011	29.24403542763112
E07000012	41.89310895769231
E07000026	17.796790831097546
E07000027	22.95361600741147
E07000028	23.642788647077943
E07000032	23.8512769831303
E07000034	22.584126760744386
E07000036	24.15187782895481
E07000038	20.417215329959788
E07000039	24.472722622610362
E07000045	32.29338620729371
E07000061	29.222819049742156
E07000063	33.86968658312084
E07000064	27.928289519930416
E07000065	27.464013044948167
E07000066	28.214197093863007
E07000067	22.018438251406153
E07000069	27.106716968123095
E07000070	28.424295199869082
E07000071	27.61784167398944
E07000072	18.738106441857695
E07000073	22.52576129651831
E07000074	26.423735599734744
E07000075	22.24062506987034
E07000076	28.284535560794563
E07000077	25.395746477482504
E07000078	29.16458733514029
E07000079	27.556468757842307
E07000081	19.515372374891506
E07000084	26.9652844692035
E07000085	26.23262386106561
E07000088	25.036154949262137
E07000090	22.029847307137132
E07000091	20.508788459618454
E07000092	24.160482767761415
E07000093	24.706226167892396
E07000094	25.85661699580311
E07000095	20.779824412230933
E07000096	27.325225702655665
E07000098	21.528821912870676
E07000099	27.588513820549736
E07000102	32.3666436614381
E07000103	26.765808936812252
E07000105	23.501769249417826
E07000106	29.286429957841328
E07000107	24.183357853354426
E07000108	30.071944890713894
E07000109	23.716308198331717
