ltla	residual
E06000004	0.1
E06000006	50.95913082096954
E06000007	63.03224450542909
E06000008	47.207113993834575
E06000009	43.256447410782286
E06000010	87.55519580017238
E06000011	51.19053447372041
E06000012	57.726873290884186
E06000013	45.859296564270245
E06000014	42.66037631374547
E06000015	45.006778917779904
E06000016	45.503398810725734
E06000018	44.42228747729582
E06000019	49.04566189328066
E06000020	57.10248553995156
E06000021	55.528263660585
E06000022	47.23626439277263
E06000023	42.949886574553055
E06000024	50.234681546854624
E06000025	41.712875528890564
E06000026	70.14367320800571
E06000027	64.8742175167277
E06000030	45.409626379473394
E06000031	72.32790926659287
E06000032	61.87456330197653
E06000033	67.77885842404109
E06000034	56.12822492962746
E06000035	63.20629529024777
E06000036	52.803397227958534
E06000037	54.56624505694389
E06000038	46.666769949913025
E06000039	48.65125000832614
E06000040	55.56876416041006
E06000041	55.83943283904499
E06000042	65.47949555528044
E06000043	60.69124769133958
E06000044	67.42866380334829
E06000045	49.62393793285629
E06000046	49.2196318204273
E06000047	20.996954276514792
E06000049	36.2296587574756
E06000050	48.50154945928598
E06000051	53.54578583883982
E06000052	52.83215084889836
E06000054	54.56422218632179
E06000055	68.02043162907538
E06000056	53.7510426508923
E06000057	31.593588661721586
E06000058	43.3319220585016
E06000059	46.58157844234349
E06000060	64.43397305846807
E07000010	63.916997632886925
E07000011	50.829453111243545
E07000012	53.64309284738341
E07000026	41.213759326888436
E07000027	50.21616964211771
E07000028	49.152535000322494
E07000032	55.56115979720656
E07000034	55.98227898325468
E07000036	55.244411352012854
E07000038	51.53657473775513
E07000039	49.32012532638495
E07000045	50.91387438363393
E07000061	56.94607457794059
E07000063	65.51171029805161
E07000064	61.29060856828628
E07000065	55.896335060915746
E07000066	58.91279186364789
E07000067	60.01209586170739
E07000069	54.67421164129949
E07000070	56.155558275133416
E07000071	53.50488601514527
E07000072	55.00909089875775
E07000073	51.94171637052159
E07000074	56.46317014561148
E07000075	58.79639736818935
E07000076	61.51294318165494
E07000077	58.85366337026629
E07000078	51.51778335290776
E07000079	59.64875696493513
E07000081	50.95314404550092
E07000084	54.34952429915047
E07000085	54.78174667451459
E07000088	53.76992615519136
E07000090	51.907420290191645
E07000091	49.5119997638131
E07000092	53.846599671343334
E07000093	55.271261644190794
E07000094	59.474914475851016
E07000095	55.685825013135236
E07000096	61.47625695076107
E07000098	50.865247216073364
E07000099	57.812779980345944
E07000102	62.23239703488388
E07000103	53.07984311357665
E07000105	51.85302753165601
E07000106	48.90809611809815
E07000107	51.16221164731886
E07000108	56.75957775685858
E07000109	50.06046905797226
E07000110	55.42395101812936
E07000111	49.14927024123112
E07000112	52.655071068313404
E07000113	58.86440304233678
E07000114	54.873371834817064
E07000115	54.27764754727881
E07000118	48.954184627046935
E07000121	53.26789367149867
E07000122	53.90449598039131
E07000123	54.63164424304717
E07000127	51.6014292430394
E07000128	49.58449287641447
E07000129	49.32131921863604
E07000130	53.69535536876091
E07000132	49.54980336370492
E07000134	58.66816586071473
E07000136	58.63286993509778
E07000138	55.083886728346386
E07000139	52.01592909399293
E07000140	60.90117300023325
E07000141	61.814542767534576
E07000143	63.06004802675101
E07000144	54.8216580822482
E07000145	62.70207687912052
E07000146	59.599731889310185
E07000147	58.28350910266516
E07000148	66.52174791028398
E07000149	54.81022632172629
E07000150	53.797216094669864
E07000151	58.83042272796933
E07000153	58.94780784788845
E07000154	71.00656903235384
E07000170	52.734130777410975
E07000171	55.401139736159855
E07000173	49.529870441210285
E07000174	60.793376498153954
E07000175	55.195506930086616
E07000177	45.893545052821366
E07000178	41.492404388748746
E07000179	51.26214418171431
E07000180	46.6798794874095
E07000181	55.68704439229778
E07000188	52.272850022349374
E07000189	51.54316296490861
E07000192	56.35530988403675
E07000193	48.609598688865844
E07000194	56.90486219215574
E07000195	49.70056546612398
E07000196	55.838501717694776
E07000197	57.027207488111195
E07000198	54.75017376964703
E07000199	58.59722819478872
E07000200	54.6805139681538
E07000202	73.51478803879323
E07000203	54.59297977555833
E07000207	50.45069500811187
