ltla	residual
E06000001	5.297033909967574
E06000006	4.193362699802537
E06000007	4.9913625030432005
E06000010	6.885398801653172
E06000011	6.742521408048504
E06000012	5.186667169530904
E06000014	5.1510045315006865
E06000016	5.620319498209713
E06000018	5.86258830792308
E06000019	5.302373338532833
E06000020	5.156415918062742
E06000022	5.273657152078166
E06000023	8.536732182813765
E06000025	5.003449890660192
E06000026	5.17465342380926
E06000027	5.525601732353325
E06000030	5.033950193773182
E06000031	6.3344544030095085
E06000032	6.082665439735145
E06000033	5.2052291561517565
E06000034	5.157906943473926
E06000035	3.961436453347867
E06000036	6.336690512869229
E06000037	4.347227990395778
E06000038	4.287598914961545
E06000039	5.3074287610595166
E06000041	5.282414498951368
E06000042	5.886437808199711
E06000043	5.0180985555469535
E06000044	4.187452149864402
E06000045	4.212706246268514
E06000046	5.49172526011651
E06000047	3.936110973660475
E06000049	4.5547991090180435
E06000050	4.612642688472297
E06000051	4.909969266561276
E06000052	4.879624642195317
E06000054	3.7005860361766043
E06000055	4.206467632223468
E06000056	3.923123669553089
E06000057	4.569750392747926
E06000058	4.908702028375363
E06000059	6.054310545595486
E06000060	5.435650831119581
E07000008	5.482282893047164
E07000010	5.5235877121123425
E07000011	4.293184990282655
E07000012	6.388035980805399
E07000026	4.3167648772058165
E07000029	7.398590196834301
E07000031	5.4071351394268
E07000032	4.338073434288541
E07000033	7.435966297001055
E07000038	5.379908667009984
E07000040	4.500815099732641
E07000041	6.507738204572471
E07000042	5.572212892544829
E07000044	4.572963915963092
E07000045	8.540013702216651
E07000046	4.5989155617606805
E07000047	5.628659187185546
E07000061	5.439460417279539
E07000063	4.4872780884984085
E07000065	4.383368042590979
E07000066	7.143135502461539
E07000068	7.493023901792705
E07000069	5.430877931870682
E07000070	5.232588242612744
E07000071	5.246895563953666
E07000072	4.329707653885296
E07000073	4.387932590105829
E07000074	4.528234439448971
E07000075	6.440776671956535
E07000076	5.370100727591228
E07000078	4.45322328992741
E07000080	4.516800296022108
E07000081	5.38716462137493
E07000084	4.272579192349938
E07000085	4.440185207472331
E07000086	5.419304467029168
E07000088	5.499583744895956
E07000089	6.479046267663151
E07000090	4.425195581178982
E07000091	4.386677925908525
E07000093	4.4012728946359525
E07000094	4.4483168519984755
E07000095	4.406713416023205
E07000096	5.299186728933868
E07000098	5.388158836653867
E07000099	5.39257137533998
E07000103	5.405677365578617
E07000106	5.37024076500301
E07000107	6.362621480141938
E07000108	5.428307514158626
E07000109	4.402018177389978
E07000110	4.302493241337379
E07000111	5.433981937344255
E07000113	5.320299971298818
E07000115	5.3704996406144065
E07000116	5.456285799387212
E07000118	4.26086677060724
E07000119	4.4235116687765474
E07000129	5.338354520975244
E07000130	4.15656409540635
E07000132	4.341056646373117
E07000133	5.544709802732425
E07000134	5.380670353599029
E07000136	5.586333452226225
E07000137	4.407570978881139
E07000140	4.5614339554668435
E07000141	5.344775292871343
E07000144	5.487079103219289
E07000146	6.476764201509727
E07000147	4.5627894177713415
E07000148	4.445245348778668
E07000149	5.466254841336125
E07000152	4.465776375359154
E07000153	4.421624665087548
E07000154	8.102650830331777
