ltla	residual
E06000001	4.371654911573412
E06000006	4.329931132672337
E06000007	4.237703037719785
E06000010	5.9998106116111325
E06000011	6.961689886584719
E06000012	5.259026299584257
E06000014	4.152778152706481
E06000016	3.8940473384024195
E06000018	5.10171089047211
E06000019	4.195152370386966
E06000020	5.258654982582079
E06000022	5.317759995878632
E06000023	6.801095348520618
E06000025	6.140659651258165
E06000026	8.156259785071473
E06000027	8.394010860399852
E06000030	4.231988284765643
E06000031	8.889449334229209
E06000032	4.062260397513759
E06000033	4.292755902661654
E06000034	5.315447310179396
E06000035	7.07641570766555
E06000036	4.313960572208703
E06000037	4.343323801028074
E06000038	7.286556749957849
E06000039	7.224728415470307
E06000041	4.1559017151767295
E06000042	3.88448930168307
E06000043	5.108131738205943
E06000044	5.307046631036258
E06000045	7.367631860918632
E06000046	5.453914321161528
E06000047	4.267103665044312
E06000049	3.8189255813660155
E06000050	4.896060608554169
E06000051	6.057460900972977
E06000052	6.874843853938174
E06000054	4.87759420627625
E06000055	4.1105760961479465
E06000056	4.904684251853718
E06000057	3.9534531432812026
E06000058	6.271424315644843
E06000059	8.234024654599136
E06000060	4.3455133406399
E07000008	4.244135473798817
E07000010	7.326891084299107
E07000011	7.226089108428047
E07000012	4.160057960853265
E07000026	5.435820951310997
E07000029	4.4806144046114085
E07000031	4.41828598891879
E07000032	4.396249710682623
E07000033	5.427485332239735
E07000038	4.427947323791919
E07000040	5.3720713623612895
E07000041	6.386942278421076
E07000042	5.470880325193859
E07000044	5.464078614380496
E07000045	10.386245748125813
E07000046	5.4912034318000655
E07000047	5.512272812659619
E07000061	5.348997108449884
E07000063	5.394666267696386
E07000065	4.297384135492654
E07000066	5.246659963565067
E07000068	4.474627117615611
E07000069	4.425317673753359
E07000070	4.243470133336656
E07000071	4.221712623063219
E07000072	4.402042213205557
E07000073	6.387352159401777
E07000074	4.454372697376714
E07000075	4.449900133322755
E07000076	4.320942884827185
E07000078	5.3957832822103375
E07000080	6.449994755726755
E07000081	6.3405682563112595
E07000084	8.276746314708365
