child_ltla	parent_ltla
E06000037	E07000179
E07000094	E07000090
E07000035	E08000019
E08000002	E08000003
E08000008	E08000003
E07000064	E07000065
E07000188	E07000246
E07000119	E07000123
E07000124	E07000123
E07000156	E06000042
E07000080	E07000082
E07000118	E08000001
E07000121	E07000163
E07000031	E07000163
E07000027	E07000163
E07000116	E07000115
E07000076	E07000071
E06000052	E07000047
E07000171	E08000017
E07000127	E08000014
E06000009	E07000128
E06000010	E06000011
E07000010	E06000031
E07000030	E06000057
E07000028	E06000057
E07000033	E08000018
E07000075	E07000070
E07000029	E07000026
E07000167	E06000014
E07000153	E07000131
E07000084	E07000093
E07000105	E07000106
E07000189	E06000059
E07000091	E06000059
E07000009	E07000011
E06000040	E06000060
E07000176	E07000130
E07000087	E06000044
E07000228	E07000226
E07000092	E07000216
E07000045	E07000041
E06000017	E07000133
