ltla	pop
E08000025	1140525
E08000018	346289
E08000027	322363
E07000089	97608
E07000179	302247
E09000008	388563
E09000010	333587
E09000003	399007
E07000240	149317
E06000049	386667
E06000054	504070
E07000110	173132
E07000068	77242
E08000021	306824
E09000013	183544
E07000040	148080
E08000033	211439
E07000109	106890
E09000033	269848
E09000006	332752
E09000014	266357
E07000187	116288
E07000041	268372
E06000023	465866
E07000241	123893
E06000032	213528
E07000152	95103
E08000029	217487
E09000018	271767
E07000239	101139
E07000220	110650
E08000031	264407
E08000028	329042
E09000009	340341
E07000221	132402
E08000007	294197
E07000032	128829
E06000060	698333
E06000031	304706
E06000016	354036
E06000021	256622
E09000015	252338
E08000036	351592
E07000132	113666
E07000134	104809
E07000180	137910
E06000020	181322
E08000009	237579
E07000102	93966
E07000237	100265
E06000015	256814
E07000172	114627
E08000030	286716
E08000035	798786
E08000010	330712
E08000004	237628
E07000246	278867
E08000026	379387
E07000219	130373
E07000236	85568
E08000001	407118
E07000238	131084
E07000194	105637
E07000192	101484
E06000051	325415
E06000003	137228
E08000005	223659
E07000151	86951
E07000129	101950
E07000096	155457
E07000114	141458
E07000218	65452
E06000018	337098
E07000234	100569
E06000056	294096
E06000019	193615
E09000021	179142
E07000202	135979
E07000103	96623
E07000026	165872
E09000024	206453
E09000022	321813
E07000095	97592
E06000057	486098
E06000047	533149
E08000022	208871
E07000036	115332
E06000005	107402
E07000178	151584
E09000025	355266
E08000003	973566
E08000024	277846
E07000229	110727
E07000061	103324
E06000014	266641
E09000019	248115
E06000046	142296
E06000041	173945
E06000058	396989
E08000032	542128
E07000242	151786
E09000032	329735
E09000012	280941
E09000029	207707
E09000023	305309
E07000155	95492
E06000007	209397
E07000213	99873
E06000004	197419
E08000006	262697
E07000163	377088
E06000059	728136
E09000028	320017
E07000130	309832
E09000005	327753
E07000065	259449
E07000106	297780
E07000039	109516
E07000011	269157
E08000023	151133
E08000019	661636
E06000044	331030
E07000165	161545
E06000013	172748
E07000071	344553
E07000154	224290
E06000035	279142
E07000215	88542
E08000037	201950
E07000098	105471
E08000014	390395
E07000131	197748
E09000017	309014
E06000055	174687
E07000099	133463
E06000043	291738
E07000199	76864
E08000017	431065
E08000016	248071
E09000016	260651
E07000140	95857
E09000030	331969
E06000045	252872
E07000093	304923
E09000002	214107
E07000243	88104
E09000004	249301
E07000081	129709
E09000026	305658
E08000034	441290
E07000044	87946
E06000026	262839
E07000150	73053
E07000067	153091
E07000133	91870
E07000070	267176
E07000113	151015
E06000042	350284
E07000169	91697
E07000170	128337
E07000198	98427
E07000195	129610
E07000122	92145
E07000107	114051
E07000034	104930
E07000216	220943
E07000085	123838
E08000012	500474
E07000209	150352
E06000033	182773
E06000012	159364
E07000063	103525
E07000038	102216
E07000222	144909
E07000196	112369
E06000008	150030
E07000066	187558
E08000013	181095
E07000245	177302
E07000086	135520
E07000141	143225
E06000039	149577
E07000173	118239
E09000031	276940
E07000214	89204
E07000136	70837
E07000137	142030
E07000226	264616
E09000007	279516
E07000135	57313
E07000224	161123
E07000197	137858
E06000036	124165
E07000193	120923
E07000149	143066
E06000030	222881
E07000211	149243
E07000177	151846
E06000024	215574
E07000115	251510
E07000117	89344
E07000082	208010
E09000027	198141
E07000073	87280
E06000011	602327
E07000148	142177
E07000128	251448
E06000002	141285
E07000175	123127
E07000090	252264
E06000025	287816
E08000011	152452
E06000050	343823
E07000217	100008
E07000139	118149
E06000006	129759
E07000008	125063
E07000111	121387
E07000174	109351
E07000244	250373
E07000120	81133
E07000181	111758
E07000212	90327
E07000037	92633
E07000210	87547
E07000235	79445
E06000034	175531
E07000072	132175
E07000047	629438
E07000012	160904
E07000207	137215
E07000108	118514
E07000083	96624
E09000020	156864
E06000022	196357
E07000203	104857
E07000145	99198
E07000208	81003
E07000168	108737
E09000011	289034
E07000077	92759
E08000015	324336
E07000146	151245
E07000225	121508
E07000143	141255
E07000078	116043
E07000123	287384
E07000126	111086
E06000001	93836
E07000069	90524
E07000200	92735
E07000164	91932
E06000027	136218
