ltla	betweenCentral
E07000035	0.00021734405564007825
E07000039	1e-06
E07000193	1e-06
E07000194	1e-06
E09000025	0.0594435992175614
E07000070	0.07294066507281026
E09000014	0.003868724190393393
E07000066	0.0036948489458813304
E09000029	0.009671810475983483
E09000016	1e-06
E09000024	0.022212562486415996
E06000034	0.031514888067811345
E09000026	0.0003477504890241252
E06000040	1e-06
E09000022	0.02586394262116931
E07000012	0.00969354488154749
E07000078	0.009302325581395349
E07000203	0.044685937839600086
E09000004	0.01069332753749185
E07000148	0.005346663768745925
E06000019	1e-06
E07000215	0.021788741577917846
E06000024	1e-06
E07000043	1e-06
E07000145	1e-06
E06000015	0.0011736579004564226
E07000224	0.020647685285807432
E06000018	0.04307759182786351
E09000032	0.029819604433818737
E06000060	1e-06
E07000240	1e-06
E07000228	0.0002608128667680939
E07000090	1e-06
E07000105	0.011399695718322105
E07000149	1e-06
E06000038	0.11445337970006521
E07000217	0.029819604433818737
E09000002	1e-06
E09000031	0.015996522495109758
E06000042	0.12397304933710063
E07000222	1e-06
E07000216	1e-06
E07000202	0.014257770049989134
E07000147	0.009302325581395349
E07000144	1e-06
E08000019	0.013344925016300805
E07000069	1e-06
E06000014	0.010736796348619865
E09000023	0.001738752445120626
E08000028	1e-06
E06000054	0.019821777874375137
E07000153	1e-06
E07000214	1e-06
E07000124	1e-06
E07000093	1e-06
E07000011	1e-06
E09000012	0.36003042816778963
E09000003	0.05029341447511411
E09000015	0.030123886111714845
E09000010	0.016257335361877852
E09000005	1e-06
E07000098	1e-06
E06000051	1e-06
E07000106	1e-06
E06000030	1e-06
E07000176	1e-06
E08000032	1e-06
E06000047	0.009302325581395349
E08000036	0.009302325581395349
E08000024	0.017213649206694197
E06000002	0.0003477504890241252
E09000007	0.3636274722886329
E07000137	1e-06
E09000033	0.37514670723755705
E06000033	4.346881112801565e-05
E09000013	0.017648337317974355
E07000225	1e-06
E09000028	0.10728102586394263
E09000017	0.2204846772440774
E09000021	0.12308193870897631
E07000091	1e-06
E06000020	1e-06
E09000018	0.1410562921104108
E07000130	1e-06
E07000244	0.0004346881112801565
E06000023	0.027298413388393828
E08000034	0.013040643338404694
E07000116	1e-06
E06000022	0.0625081504020865
E07000065	0.01790915018474245
E07000143	0.03594870680286894
E07000084	1e-06
E08000010	0.024777222342968922
E06000031	0.046511627906976744
E08000004	1e-06
E07000112	0.0006085633557922192
E07000109	1e-06
E06000056	0.0377743968702456
E07000062	0.007346229080634645
E07000165	1e-06
E08000015	1e-06
E06000035	1e-06
E08000035	0.07598348185177135
E08000012	0.0021299717452727667
E07000120	1e-06
E07000083	1e-06
E06000026	0.009302325581395349
E07000177	0.018561182351662684
E06000039	1e-06
E07000168	0.00013040643338404695
E07000212	1e-06
E07000089	1e-06
E08000026	1e-06
E07000037	1e-06
E08000016	1e-06
E06000041	1e-06
E08000014	0.018821995218430778
E07000126	0.009302325581395349
E07000102	0.025646598565529234
E07000139	0.009302325581395349
E07000123	0.030949793523147143
E07000008	1e-06
E07000138	0.08476418169963051
E07000235	1e-06
E06000059	1e-06
E07000061	1e-06
E07000242	1e-06
E07000195	1e-06
E06000057	1e-06
E08000037	1e-06
E07000096	1e-06
E07000032	0.012866768093892632
E09000030	1e-06
E07000087	1e-06
E07000243	0.11736579004564225
E07000179	0.045642251684416435
E07000074	1e-06
E07000086	1e-06
E06000058	0.023429689198000436
E07000110	0.11271462725494458
E07000113	1e-06
E06000052	1e-06
E07000041	1e-06
E06000043	0.00013040643338404695
E07000107	0.015616170397739623
E07000146	0.005955227124538144
E07000071	0.0060638991523581836
E06000036	1e-06
E07000207	0.0308302542925451
E09000011	0.005955227124538144
E07000209	0.2688654640295588
E09000027	1e-06
E08000031	0.05098891545316236
E09000006	0.009302325581395349
E07000188	1e-06
E07000229	1e-06
E06000045	0.022179960878069987
E07000211	1e-06
E07000063	1e-06
E09000009	0.0006955009780482504
E08000025	0.04064333840469463
E07000134	0.009302325581395349
E07000073	1e-06
E09000019	0.10397739621821343
E06000032	1e-06
E07000136	0.018517713540534667
E07000064	0.009302325581395349
E06000005	0.009302325581395349
E08000022	1e-06
E09000020	0.005520539013257987
E07000085	0.0002608128667680939
E07000210	0.006781134535970441
E07000237	0.005911758313410128
E07000241	0.009302325581395349
E06000012	0.010519452292979787
E08000017	0.05424907628776353
E07000245	1e-06
E06000010	0.011345359704412085
E07000081	1e-06
E07000099	1e-06
E07000079	0.001347533144968485
E07000213	0.013171049771788741
E07000221	0.028515540099978268
E07000199	0.014605520539013258
E07000042	0.02768963268854597
E07000236	1e-06
E06000016	0.20170615083677462
E07000076	1e-06
E07000067	1e-06
E08000003	0.043338404694631606
E06000011	1e-06
E06000044	0.022821125842208217
E07000009	0.02455987828732884
E07000075	0.005564007824386003
E07000010	1e-06
E08000008	0.029993479678330798
E07000114	1e-06
E07000072	0.0003477504890241252
E08000029	0.06059552271245382
E06000037	0.0001738752445120626
E07000227	0.012910236905020647
E08000011	1e-06
E07000141	1e-06
E07000142	1e-06
E07000175	1e-06
E07000208	0.009737013692675506
E06000050	1e-06
E07000180	1e-06
E08000033	1e-06
E06000025	0.007867854814170832
E08000030	1e-06
E07000108	1e-06
E07000121	0.0007824386003042816
E06000055	0.01760486850684634
E06000003	1e-06
E06000013	1e-06
