ltla	residual
E06000001	-0.44494830176375144
E06000002	-2.0328549372205895
E06000003	1.3216703794724296
E06000004	-2.6662585359244275
E06000005	-1.128022031924976
E06000006	-0.21423040548484806
E06000007	-4.713153163960611
E06000008	2.271701870095878
E06000009	-0.41603213474273915
E06000010	-0.49944647522444363
E06000011	-2.5596542392836454
E06000012	5.736086065166064
E06000013	5.719827418372445
E06000014	0.4714549379277866
E06000015	-6.294278060673593
E06000016	-4.219741274096242
E06000018	-3.6687095191849366
E06000019	1.5946724071371268
E06000020	-0.48839039587434385
E06000021	-2.8811681487596257
E06000022	0.3815867463106888
E06000023	-3.0866931140078595
E06000024	-1.9529088972645572
E06000025	-3.6234598830614235
E06000026	-3.3530607632311753
E06000030	0.6028646414188117
E06000031	-0.05735658190531545
E06000032	3.9643513727615822
E06000033	-2.1261765235101873
E06000034	0.5226736127659688
E06000035	1.0647835030365282
E06000036	-1.1506803477382133
E06000037	-1.0724880234986007
E06000038	1.4850402380123167
E06000039	0.632185676928569
E06000040	-0.1265763304275116
E06000041	-0.5534302153423303
E06000042	3.5082633715172857
E06000043	-3.4675240402302823
E06000044	-0.2580890648302798
E06000045	-2.070693505557813
E06000046	-1.0002601267106446
E06000047	-3.550583036600921
E06000049	4.014839619292733
E06000050	1.4765933894926384
E06000051	-3.1964224096718734
E06000052	-4.121688185496769
E06000054	-6.447300934548711
E06000055	1.8830134673883219
E06000056	-3.067551782552515
E06000057	0.19374121396068844
E06000058	0.6734728458464616
E06000059	4.753946646320939
E06000060	1.163242574458737
E07000010	0.23617209070097545
E07000012	-2.214532776668287
E07000027	0.46424771086082117
E07000028	0.7452193409542263
E07000029	0.3086402198959215
E07000031	0.6989803739230052
E07000033	-0.4140140741998204
E07000040	0.06719014160639558
E07000041	1.1185623658428783
E07000043	-1.6632452330256497
E07000044	-0.39743660440735806
E07000045	-1.5428933713419033
E07000062	-0.012287860097465408
E07000063	-1.033259929959164
E07000064	0.28081804123106036
E07000065	-0.5669307617649579
E07000066	-0.5869364245714159
E07000067	-1.5972556949164036
E07000069	-1.451771791368973
E07000070	1.0768389091744566
E07000071	0.07912749416311016
E07000072	-1.2024959717730428
E07000073	0.22955648862993305
E07000075	2.6216808439895942
E07000076	-0.9027631079741791
E07000077	-0.29323038213509545
E07000081	1.2238578515641736
E07000082	-0.4212287116316831
E07000083	-1.5170885114865715
E07000084	-0.6264121487165575
E07000085	0.6172919394715457
E07000086	1.4623484415631136
E07000087	-0.6710724533782413
E07000089	2.905656646402572
E07000090	-0.4939371204630678
E07000091	-1.7797536246756733
E07000092	-0.4222796275337366
E07000093	2.328546917282945
E07000094	-1.3223679854215291
E07000095	0.36891777560959893
E07000096	-1.4289735185941064
E07000098	-2.768764670926737
E07000099	-1.7360218579722022
E07000102	-0.30919415510271087
E07000103	5.361229864334085
E07000105	-2.572330522165462
E07000106	-2.901723974018244
E07000107	0.04173786579779115
E07000108	0.5291546746978923
E07000109	-1.665922784730073
E07000110	0.5955621342038393
E07000111	-0.4287388214936225
E07000113	1.727695237148454
E07000114	-1.1217455820357887
E07000115	0.1001969872073456
E07000116	-1.2632351885544804
E07000117	3.6856789228520763
E07000118	0.28667696808310117
E07000120	-1.001825944952285
E07000121	-0.547636953341661
