ltla	pop
E06000051	426554
E07000235	79445
E08000027	322363
E07000196	112369
E08000030	286716
E06000015	610491
E06000050	343823
E06000021	256622
E07000195	129610
E06000011	343201
E08000025	1140525
E08000029	217487
E06000023	465866
E06000025	287816
E06000013	172748
E06000020	181322
E08000031	264407
E07000218	142316
E09000015	252338
E08000026	379387
E08000036	351592
E09000003	399007
E07000220	110650
E09000002	214107
E06000008	150030
E07000155	95492
E08000032	599466
E06000016	513299
E08000010	511807
E07000087	201017
E06000049	479300
E08000028	329042
E06000055	174687
E07000188	123446
E06000019	193615
E08000005	223659
E09000031	276940
E07000082	208010
E07000238	216652
E07000219	130373
E06000034	175531
E07000234	100569
E09000011	289034
E08000009	237579
E07000134	104809
E06000060	547060
E06000058	396989
E06000059	379791
E07000192	101484
E07000099	133463
E08000001	288248
E06000012	159364
E08000003	555741
E08000035	890483
E07000117	89344
E06000014	211012
E08000002	190708
E08000006	262697
E07000142	196235
E08000007	294197
E07000128	113067
E08000016	248071
E08000034	441290
E06000052	642018
E07000103	96623
E09000009	340341
E07000221	132402
E07000237	100265
E07000193	120923
E06000036	124165
E07000154	224290
E07000081	129709
E09000019	248115
E07000127	114496
E06000031	536811
E06000042	270203
E07000084	177760
E07000098	105471
E09000029	207707
E09000030	331969
E06000043	355925
E09000023	305309
E09000018	271767
E09000021	347692
E07000113	151015
E09000008	388563
E06000047	586881
E09000025	355266
E07000224	161123
E08000017	312785
E06000004	197419
E07000041	133333
E08000012	500474
E07000122	92145
E09000022	321813
E09000033	269848
E07000120	81133
E06000057	377574
E08000021	306824
E06000056	473081
E07000225	121508
E06000033	182773
E07000226	257948
E07000148	142177
E07000090	126339
E07000139	118149
E09000026	305658
E09000032	329735
E09000006	332752
E07000179	143782
E07000136	70837
E07000073	87280
E06000010	259126
E09000012	280941
E06000005	107402
E07000211	149243
E07000114	141458
E08000019	763852
E07000043	98170
E07000071	262601
E07000072	132175
E06000045	252872
E07000217	100008
E06000009	138381
E07000207	137215
E09000027	198141
E07000200	92735
E07000245	267474
E07000203	104857
E07000202	135979
E09000016	337893
E07000242	239890
E07000110	173132
E07000064	96716
E07000176	172810
E06000037	158465
E07000172	114627
E07000066	187558
E06000035	279142
E06000032	213528
E09000013	183544
E07000241	123893
E08000011	152452
E09000014	266357
E07000077	92759
E07000096	155457
E07000213	99873
E07000197	137858
E07000070	179549
E07000067	153091
E06000040	151273
E07000027	66726
E07000107	114051
E09000007	279516
E08000033	211439
E08000008	227117
E07000118	118870
E06000041	173945
E07000240	149317
E09000005	327753
E09000020	156864
E09000024	206453
E07000180	137910
E08000015	324336
E07000105	244338
E07000095	97592
E07000181	111758
E07000116	118939
E07000102	93966
E07000228	152142
E07000126	192297
E09000004	249301
E08000014	275899
E07000215	88542
E07000194	105637
E07000130	188416
E09000017	309014
E08000037	201950
E06000054	710622
E07000065	266057
E07000031	202736
E07000144	131931
E07000093	127163
E07000075	87627
E06000039	149577
E08000004	237628
E07000012	285967
E07000178	151584
E07000028	108524
E09000010	333587
E07000111	121387
E07000146	151245
E07000121	148119
E07000033	81305
E07000094	125925
E07000040	148080
E06000024	215574
E06000030	222881
E06000038	160337
E07000168	108737
E07000145	99198
E08000023	151133
E06000002	141285
E07000044	87946
E07000045	354547
E07000189	324117
E07000089	97608
E07000085	123838
E07000177	151846
E09000028	320017
E07000123	144147
E07000216	126556
E07000244	393439
E07000214	89204
E07000222	144909
E07000106	166762
E07000165	161545
E06000018	337098
E08000022	208871
E07000091	179649
E07000092	94387
E08000018	264984
E07000209	150352
E06000007	209397
E07000063	103525
E07000086	135520
E06000022	196357
E07000109	106890
E07000164	91932
E07000115	132571
E07000212	90327
E06000006	129759
E07000010	102080
E08000024	277846
E06000003	137228
E07000124	62026
E07000125	71432
E07000151	86951
E07000029	68041
E07000171	350758
E06000044	214692
E06000046	142296
E07000076	147353
E07000062	92554
E07000083	212667
E07000198	98427
E07000108	118514
E07000143	246422
E06000026	262839
E07000229	110727
E06000001	93836
E09000001	10938
E07000069	90524
