ltla	betweenCentral
E06000018	0.17495098969202552
E09000023	0.032726237905520775
E09000022	0.03778536647062543
E06000043	0.008726996774805538
E09000005	1e-06
E09000020	0.001201543034212357
E06000038	0.1556314424840321
E08000030	1e-06
E09000008	0.0067033453487636745
E08000011	1e-06
E09000027	0.0005691519635742742
E09000018	0.06112059697717068
E07000173	1e-06
E09000009	0.006766584455827483
E09000024	0.011288180610889773
E07000092	0.00022133687472332888
E07000180	1e-06
E09000015	0.02779358755454373
E09000003	0.092676911402011
E07000174	1e-06
E07000085	1e-06
E07000088	1e-06
E08000022	1e-06
E07000091	1e-06
E07000081	0.0001264782141276165
E07000078	0.0207108075633972
E08000018	0.007873268829444127
E07000222	1e-06
E08000015	1e-06
E08000029	0.06443274520963764
E07000123	0.02121672041990767
E09000014	0.07617150445835705
E07000130	0.02874217416050085
E09000030	1e-06
E06000011	1e-06
E06000036	0.004806172136849428
E07000175	0.010276354897868841
E07000084	0.00796812749003984
E06000020	1e-06
E07000093	0.0018655536583823435
E07000033	0.04252829950041105
E07000171	1e-06
E06000045	0.028995130588756083
E06000010	1e-06
E06000031	0.00199203187250996
E07000170	1e-06
E06000056	0.06912034402074242
E07000139	1e-06
E07000165	0.01824448238790868
E08000028	0.04312907101751723
E07000028	0.029848858534117496
E09000032	0.02773034844747992
E07000034	0.04550053753241004
E07000039	1e-06
E06000016	0.028236261303990387
E06000042	0.003699487763232783
E08000003	0.21102890027192814
E07000196	0.0002845759817871371
E08000026	0.1654651236324543
E09000019	0.044551950926452914
E07000129	0.0719344842850819
E08000024	0.030512869158287482
E09000031	0.0059128565104660715
E08000021	0.0023398469613609054
E06000005	0.022007209258205273
E06000047	0.007715171061784607
E08000023	NA
E08000037	0.03519256308100929
E08000007	0.007873268829444127
E07000138	0.007588692847656991
E08000012	0.12287358502497944
E06000014	0.03841775754126352
E06000015	0.002497944729020426
E08000009	0.0044583570479984815
E08000036	0.015722822993739328
E06000002	1e-06
E07000030	0.06996616707772085
E08000035	0.08575222917852399
E07000032	1e-06
E08000002	0.0099601593625498
E07000236	1e-06
E08000017	0.023777904255991904
E07000106	0.0001264782141276165
E07000209	0.00199203187250996
E07000207	0.014355277303484473
E07000110	0.012426484538038322
E09000006	0.008252703471826977
E07000086	0.0003161955353190413
E08000016	1e-06
E06000052	1e-06
E06000023	0.0034149117814456457
E07000224	0.00018971732119142475
E06000008	1e-06
E06000058	1e-06
E06000039	0.014450135964080187
E09000021	0.002055270979573768
