ltla	pop
E06000018	573141
E09000023	305309
E09000022	321813
E06000043	355925
E09000005	327753
E09000020	156864
E06000038	160337
E08000030	286716
E09000008	388563
E08000011	152452
E09000027	198141
E09000018	271767
E07000173	118239
E09000009	340341
E09000024	206453
E07000092	94387
E07000180	137910
E09000015	252338
E09000003	399007
E07000174	109351
E07000085	123838
E07000088	84679
E08000022	208871
E07000091	179649
E07000081	129709
E07000078	116043
E08000018	264984
E07000222	144909
E08000015	324336
E08000029	217487
E07000123	144147
E09000014	266357
E07000130	458285
E09000030	331969
E06000011	398830
E06000036	124165
E07000175	123127
E07000084	177760
E06000020	181322
E07000093	127163
E07000033	81305
E07000171	118280
E06000045	252872
E06000010	259126
E06000031	393586
E07000170	128337
E06000056	294096
E07000139	188986
E07000165	161545
E08000028	329042
E07000028	108524
E09000032	329735
E07000034	104930
E07000039	109516
E06000016	506886
E06000042	350284
E08000003	555741
E07000196	112369
E08000026	379387
E09000019	248115
E07000129	101950
E08000024	277846
E09000031	276940
E08000021	306824
E06000005	107402
E06000047	586881
E08000023	151133
E08000037	201950
E08000007	294197
E07000138	100049
E08000012	500474
E06000014	211012
E06000015	372146
E08000009	237579
E08000036	351592
E06000002	141285
E07000030	53754
E08000035	798786
E07000032	128829
E08000002	190708
E07000236	85568
E08000017	312785
E07000106	166762
E07000209	150352
E07000207	227542
E07000110	173132
E09000006	421294
E07000086	135520
E08000016	248071
E06000052	698157
E06000023	465866
E07000224	393358
E06000008	150030
E06000058	396989
E06000039	149577
E09000021	179142
E08000027	322363
E07000142	96186
E08000019	661636
E06000044	457369
E07000148	142177
E07000144	378353
E06000019	193615
E09000012	280941
E08000025	1205977
E08000006	262697
E07000221	244160
E06000054	710622
E09000017	309014
E07000094	125925
E06000059	527871
E07000227	145474
E08000004	237628
E06000004	197419
E07000197	137858
E07000220	110650
E06000041	271553
E09000002	214107
E07000072	132175
E09000028	320017
E07000234	100569
E08000001	288248
E07000111	121387
E07000065	266057
E06000060	736518
E07000146	151245
E07000117	89344
E07000029	68041
E07000228	152142
E07000038	102216
E07000178	151584
E07000067	153091
E06000057	323820
E09000025	355266
E07000070	502578
E07000064	189270
E06000046	142296
E07000141	183701
E07000076	147353
E07000099	133463
E08000032	599466
E08000034	441290
E07000118	118870
E08000033	211439
E07000168	108737
E07000121	148119
E07000137	142030
E07000096	155457
E07000219	130373
E07000008	125063
E07000012	160904
E07000037	92633
E07000189	168696
E07000031	104905
E09000010	431179
E07000027	66726
E09000026	305658
E09000011	289034
E08000008	227117
E07000112	113320
E07000114	141458
E06000032	213528
E08000005	223659
E07000098	105471
E09000007	279516
E09000029	288710
E07000243	88104
E07000239	101139
E09000033	269848
E06000049	386667
E09000004	249301
E09000013	183544
E07000244	454428
E06000051	404860
E07000216	126556
E07000199	76864
E06000030	222881
E07000113	151015
E07000066	278082
E07000109	106890
E07000195	129610
E09000016	260651
E07000124	62026
E08000031	264407
E06000034	175531
E07000202	135979
E06000035	279142
E06000033	182773
E07000041	133333
E07000063	103525
E07000044	359203
E07000194	105637
E06000055	174687
E07000217	100008
E07000103	96623
E07000213	99873
E06000009	138381
E07000011	269157
E07000226	112474
E06000012	159364
E08000013	181095
E06000001	93836
E07000241	123893
E07000105	131018
E07000177	151846
E07000126	111086
E08000014	275899
E06000040	151273
E06000013	172748
E07000164	91932
E07000149	143066
E07000237	100265
E07000211	236790
E06000024	215574
E07000119	81211
E07000107	114051
E07000150	175264
E07000179	143782
E06000021	256622
E06000007	209397
E07000240	149317
E07000188	123446
E07000192	101484
E07000154	311241
E07000169	91697
E06000037	158465
E07000071	289935
E06000025	495826
E08000010	330712
E07000214	89204
E07000115	132571
E07000238	131084
E07000193	120923
E06000006	129759
E06000050	343823
E07000108	118514
E07000127	114496
E07000116	118939
E06000022	196357
E06000026	262839
E07000122	92145
E07000026	97831
E07000125	71432
E07000245	177302
E07000198	98427
E07000120	81133
E07000128	113067
E07000010	102080
E07000083	96624
E07000242	239066
E06000003	137228
E07000246	336881
E09000001	10938
