child_ltla	parent_ltla
E07000092	E07000209
E07000217	E07000209
E07000210	E07000209
E07000044	E06000026
E07000180	E06000054
E07000093	E06000054
E08000011	E08000012
E07000222	E08000026
E07000170	E06000018
E07000172	E06000018
E07000033	E08000018
E07000125	E08000005
E07000221	E08000029
E07000237	E07000238
E07000236	E07000238
E07000134	E07000194
E07000039	E07000194
E07000188	E07000246
E07000174	E07000171
E06000019	E06000051
E07000163	E08000032
E07000105	E07000106
E08000037	E06000047
