ltla	eigenCentral
E06000019	1.7633494576105169e-06
E08000003	0.004394263257892944
E08000007	0.0016130173709841353
E09000022	0.1698127298200236
E09000017	0.06613992850599476
E09000006	0.06675495362575852
E09000002	0.03828614324337922
E09000012	0.2238844202502616
E09000018	0.049474995694448166
E09000014	0.1817871413558761
E07000178	0.002286366681771911
E09000028	0.3936782991050409
E09000009	0.1187395133945326
E09000023	0.13471805530050565
E09000003	0.144057094385455
E07000241	0.001732461446192008
E06000006	3.380358614034053e-05
E07000246	0.0004065007028859901
E08000031	0.0006056161425767218
E08000028	0.0014633888967874324
E09000007	0.38338813692097445
E06000007	0.00020767773964539135
E08000018	0.00017490693482996906
E06000047	0.0003283896256726149
E07000170	7.31308055057302e-06
E07000034	0.00020450416249075782
E08000035	0.00141127792776417
E07000174	1.5127866077483315e-05
E06000020	7.874463074256244e-06
E07000065	0.00011750948269855771
E08000023	NA
E06000009	4.040322511234221e-08
E06000043	0.0030895583067066276
E06000011	7.958951277659535e-05
E09000032	0.18758095390548538
E08000029	0.0016468285484037167
E07000035	3.5188388753427995e-06
E09000005	0.13749830640288932
E06000021	0.000403229974181477
E07000195	0.00010953394394841533
E06000013	2.0915931416230482e-06
E07000198	4.977095002253192e-05
E09000011	0.08930783937765967
E06000033	0.0010045265320610774
E07000098	0.011536635216313386
E08000017	0.001306599063946595
E06000026	0.0004609996715060793
E07000155	0.00012317892659708128
E07000245	2.387218263758916e-05
E09000033	0.4734994358989103
E08000014	0.0002443392728912132
E06000042	0.0028951552875824803
E07000165	2.472635426410886e-05
E08000032	0.000212917982337047
E07000124	4.1861210931200256e-08
E09000025	0.18095555760169818
E07000139	1.7046189526096707e-06
E07000151	0.00015587020243764424
E07000237	4.766622452946188e-05
E06000045	0.0009074610141173775
E09000027	0.04698883231792547
E06000024	0.00016489136504919505
E06000056	0.0029437745709041466
E08000022	8.085558921155898e-05
E08000002	0.00029372249745819655
E08000019	0.0007786392091390722
E07000085	0.00026740188418871043
E06000035	0.002833067246930384
E07000064	3.1498712729473764e-06
E07000228	0.0013649522611725853
E07000110	0.0007876681233622152
E06000059	4.236545320397727e-05
E09000026	0.09566519124507364
E06000046	5.826293904213224e-06
E08000027	0.0006351645451362673
E07000154	0.0014909997390617619
E08000012	0.0016120048518846392
E07000037	3.3957589374388744e-05
E06000012	3.468507967685627e-07
E07000181	2.0670366896430308e-05
E07000216	0.0007253654481052254
E09000031	0.09428398553255934
E06000040	0.002510737307556978
E06000041	0.001281025828957657
E06000060	0.004775098136391558
E09000013	0.17071349195797306
E07000076	0.00013419146001623626
E09000016	0.027893900678116063
E09000015	0.07321953268220771
E07000012	0.0003550334487164269
E07000221	2.7831792304577745e-05
E09000010	0.09180027162914078
E08000026	0.0009756841462300677
E07000092	0.0008386757016986187
E07000028	9.78551049097298e-05
E06000039	0.006108622081949028
E07000180	0.0001809716667716641
E07000179	0.0010839030057204215
E07000227	0.0007841939844009937
E07000109	0.0015726248938328139
E07000214	0.00015639155355009818
E07000147	2.8853709224284654e-06
E06000055	0.0012937489508301357
E07000175	0.0003410577323649588
E07000070	0.001112386995641639
E08000025	0.00428870875506921
E06000016	0.0009098205959722147
E08000024	9.547180663374922e-05
E06000057	3.6608707559696874e-05
E07000063	0.00026140877714245377
E07000075	0.0003990632579323074
E06000034	0.005718436056632691
E07000217	0.0023369453088245814
E07000212	0.00048269382392905895
E06000036	0.00044935787661588345
E07000089	0.0002964350886563013
E06000014	0.0013152891653306945
E07000152	3.928373114558246e-05
E06000054	0.000758090616864991
E09000030	0.23387273601819705
E07000105	0.0015818196762726884
E06000023	0.002229117676744978
E07000086	0.0006181366070195928
E07000090	0.000515735656090932
E07000112	0.0004223145426679003
E07000131	8.107206897616487e-05
E06000038	0.006027268861298291
E06000030	0.0009940200459657709
E07000168	2.381533707568727e-06
E07000027	6.194744350565772e-07
E08000001	0.00022447347395904577
E07000188	1.2481542527947935e-05
E07000099	0.0013388199152819863
E07000084	0.0010105698324921319
E06000022	0.001146126400428353
E08000008	0.0006307007672112605
E08000030	0.0005254340964511323
E07000211	0.004387669040994978
E07000102	0.002114463720191511
E09000019	0.21948604716523576
E08000021	0.0004578616561212302
E07000193	1.2096525938088672e-05
E08000037	0.001421774217119424
E07000141	0.0006125910803748445
E08000006	0.0019374500654648073
E07000077	0.0037828997381197525
E07000091	7.212647266906088e-05
E06000032	0.004921134882229105
E07000177	0.0015601324523978658
E06000050	9.879894530674519e-05
E06000049	0.0014166794100095197
E07000071	0.0006643307752003428
E06000015	0.0005379571023392821
E07000062	2.5006079282714827e-06
E07000209	0.002417478478050776
E07000189	2.042852550122188e-06
E07000107	0.008832438921693163
E09000020	0.14080003505504501
E07000130	0.0004231753041299673
E09000001	NA
E07000207	0.0030996386637943767
E07000033	2.0218551760081345e-05
E07000243	0.001457258849809202
E07000113	0.0007530245936163607
E09000008	0.07737079789594122
E07000111	0.002560579479416706
E07000039	3.3501897729083735e-05
E07000150	0.00021506767370127033
E07000093	0.00018724636095408868
E06000027	2.6664567281707963e-08
E06000051	8.655167325183858e-06
E06000058	0.00042155474579493187
E07000208	0.0021235636706026344
E07000192	4.21422088603825e-05
E07000236	5.311314355871116e-05
E07000094	0.0004341187335435283
E07000144	9.747105614233143e-05
E09000004	0.02923782181526307
E07000026	4.985495529623995e-07
E07000008	0.0030402955786060057
E07000073	0.0009271152837716562
E07000196	7.403698510612767e-05
E07000187	2.3886789381477578e-05
E07000222	0.0005201245568223573
E08000009	0.0016471569869406985
E07000225	1.975508193442141e-05
E07000036	3.683519732372099e-05
