ltla	pop
E06000019	193615
E08000003	555741
E08000007	294197
E09000022	321813
E09000017	309014
E09000006	332752
E09000002	214107
E09000012	280941
E09000018	271767
E09000014	266357
E07000178	151584
E09000028	320017
E09000009	340341
E09000023	305309
E09000003	399007
E07000241	123893
E06000006	129759
E07000246	155421
E08000031	264407
E08000028	329042
E09000007	279516
E06000007	209397
E08000018	264984
E06000047	533149
E07000170	128337
E07000034	104930
E08000035	798786
E07000174	109351
E06000020	181322
E07000065	162733
E08000023	151133
E06000009	138381
E06000043	291738
E06000011	343201
E09000032	329735
E08000029	217487
E07000035	72422
E09000005	327753
E06000021	256622
E07000195	129610
E06000013	172748
E07000198	98427
E09000011	289034
E06000033	182773
E07000098	105471
E08000017	312785
E06000026	262839
E07000155	95492
E07000245	177302
E09000033	269848
E08000014	275899
E06000042	270203
E07000165	161545
E08000032	542128
E07000124	62026
E09000025	355266
E07000139	118149
E07000151	86951
E07000237	100265
E06000045	252872
E09000027	198141
E06000024	215574
E06000056	294096
E08000022	208871
E08000002	190708
E08000019	589214
E07000085	123838
E06000035	279142
E07000064	96716
E07000228	152142
E07000110	173132
E06000059	379791
E09000026	305658
E06000046	142296
E08000027	322363
E07000154	224290
E08000012	500474
E07000037	92633
E06000012	159364
E07000181	111758
E07000216	126556
E09000031	276940
E06000040	151273
E06000041	173945
E06000060	547060
E09000013	183544
E07000076	147353
E09000016	260651
E09000015	252338
E07000012	160904
E07000221	132402
E09000010	333587
E08000026	379387
E07000092	94387
E07000028	108524
E06000039	149577
E07000180	137910
E07000179	143782
E07000227	145474
E07000109	106890
E07000214	89204
E07000147	105167
E06000055	174687
E07000175	123127
E07000070	179549
E08000025	1140525
E06000016	354036
E08000024	277846
E06000057	323820
E07000063	103525
E07000075	87627
E06000034	175531
E07000217	100008
E07000212	90327
E06000036	124165
E07000089	97608
E06000014	211012
E07000152	95103
E06000054	504070
E09000030	331969
E07000105	131018
E06000023	465866
E07000086	135520
E07000090	126339
E07000112	113320
E07000131	95537
E06000038	160337
E06000030	222881
E07000168	108737
E07000027	66726
E08000001	288248
E07000188	123446
E07000099	133463
E07000084	177760
E06000022	196357
E08000008	227117
E08000030	286716
E07000211	149243
E07000102	93966
E09000019	248115
E08000021	306824
E07000193	120923
E08000037	201950
E07000141	143225
E08000006	262697
E07000077	92759
E07000091	179649
E06000032	213528
E07000177	151846
E06000050	343823
E06000049	386667
E07000071	197200
E06000015	385643
E07000062	92554
E07000209	150352
E07000189	168696
E07000107	114051
E09000020	156864
E07000130	290366
E09000001	10938
E07000207	137215
E07000033	81305
E07000243	88104
E07000113	151015
E09000008	388563
E07000111	121387
E07000039	109516
E07000150	73053
E07000093	127163
E06000027	136218
E06000051	325415
E06000058	396989
E07000208	81003
E07000192	101484
E07000236	85568
E07000094	125925
E07000144	131931
E09000004	249301
E07000026	97831
E07000008	125063
E07000073	87280
E07000196	112369
E07000187	116288
E07000222	144909
E08000009	237579
E07000225	121508
E07000036	115332
E07000223	64187
E08000010	330712
E07000146	151245
E07000219	130373
E07000194	105637
E07000226	112474
E07000011	178985
E07000116	118939
E08000016	248071
E08000036	351592
E07000167	55629
E08000034	441290
E07000137	142030
E09000024	206453
E07000238	131084
E07000031	104905
E07000143	141255
E07000074	65401
E07000068	77242
E07000197	137858
E08000005	223659
E07000220	110650
E07000142	96186
E06000052	573299
E08000015	324336
E08000004	237628
E07000242	151786
E07000106	166762
E07000244	250373
E06000044	214692
E07000156	80081
E07000061	103324
E06000037	158465
E06000003	137228
E07000072	132175
E06000002	141285
E07000108	118514
E06000010	259126
E07000115	132571
E07000066	187558
E07000148	142177
E07000218	65452
E06000031	202626
E06000008	150030
E07000171	118280
E07000140	95857
E08000011	152452
E07000234	100569
E07000239	101139
E07000120	81133
E07000119	81211
E07000128	113067
E07000010	102080
E08000033	211439
E07000118	118870
E07000135	57313
E07000202	135979
E07000114	141458
E07000149	143066
E07000229	110727
E07000088	84679
E07000215	88542
E07000153	102211
E07000235	79445
E07000240	149317
E07000121	148119
