ltla	residual
E06000001	17.348747480782936
E06000002	15.639510348247393
E06000003	18.271936113751917
E06000004	12.029435839185355
E06000005	18.284156949381256
E06000006	18.19885562078263
E06000007	13.554813118157549
E06000008	21.440356616525595
E06000009	19.28969528013291
E06000010	15.186932571914687
E06000011	17.097157042938917
E06000012	29.052929196913425
E06000013	30.862821330589625
E06000014	20.046659468633898
E06000015	6.228443819902568
E06000016	10.62268539954159
E06000018	10.237189757935335
E06000019	20.836357120284855
E06000020	32.63159153044647
E06000021	19.484235702628844
E06000022	23.589060481804566
E06000023	21.836038744845734
E06000024	16.67198160838361
E06000025	13.067650297523603
E06000026	14.334160379179625
E06000030	24.586710528010183
E06000031	19.761149628213445
E06000032	25.50663650340291
E06000033	14.616117906163325
E06000034	20.500733449298302
E06000035	16.858205368637485
E06000036	21.067869326593826
E06000037	19.60647531683562
E06000038	26.109530090879133
E06000039	21.71585176504876
E06000040	24.079586210053606
E06000041	23.96716445791465
E06000042	26.4620135874431
E06000043	15.867651444591706
E06000044	17.492398369797257
E06000045	18.485380040402127
E06000046	18.555891512291147
E06000047	7.254178319902383
E06000049	21.76965248568689
E06000050	17.282033838028262
E06000051	20.46038772016634
E06000052	14.517641161472786
E06000054	16.000826433623402
E06000055	21.384394436779395
E06000056	24.335241446888556
E06000057	24.583541591502357
E06000058	22.118715353871085
E06000059	26.333715588905186
E06000060	33.57553843954743
E07000010	20.157895403400214
E07000012	15.519319665547986
E07000027	21.943770197723964
E07000028	18.396669021080413
E07000029	19.91965102620468
E07000031	21.53814598562306
E07000033	19.8604400360203
E07000040	21.865397708510425
E07000041	20.72392365796232
E07000043	19.20352275311247
E07000044	20.048016701466672
E07000045	17.610848848973284
E07000062	19.22457327916628
E07000063	19.72853549830343
E07000064	20.543758155493585
E07000065	19.331002881686118
E07000066	18.434911806655702
E07000067	24.215038122610494
E07000069	18.16712130967344
E07000070	19.42567991803958
E07000071	30.841733111094833
E07000072	21.82518352016165
E07000073	21.332257235219867
E07000075	21.204452929194343
E07000076	22.89572165593315
E07000077	24.91641775670971
E07000081	21.641280507383833
E07000082	24.29439633912625
E07000083	16.36954170906449
E07000084	24.01260147056979
E07000085	18.58891316789653
E07000086	24.01652623654428
E07000087	20.37989856504294
E07000089	26.322057528989983
E07000090	20.238373957351946
E07000091	21.50649692097823
E07000092	20.91425957238398
E07000093	23.432943780896508
E07000094	20.52217311562302
E07000095	20.559606054393374
E07000096	23.051322319978546
E07000098	19.6978299711367
E07000099	24.681799564547106
E07000102	18.726601163200826
E07000103	28.06892758680266
E07000105	18.5343919979774
E07000106	17.099858162200423
E07000107	23.483030280285238
E07000108	20.88767161416482
E07000109	20.36853995217738
E07000110	23.035341196606804
E07000111	21.395671533506956
E07000113	22.7809767855234
E07000114	17.700312300156728
E07000115	23.518299613341156
E07000116	21.118439074824206
E07000117	25.40301663599142
E07000118	23.11393966520538
E07000120	20.02468890842213
E07000121	21.8500495890988
E07000122	33.93194873327092
E07000123	18.398388867937292
