origin,peak.date,peak_mid.date,dec_dist,peak_group
E06000010,2022-01-01,2022-01-03,33,late
E06000020,2022-01-02,2022-01-03,33,late
E07000041,2022-01-02,2022-01-03,33,late
E07000061,2022-01-01,2022-01-03,33,late
E07000081,2022-01-02,2022-01-03,33,late
E07000122,2022-01-02,2022-01-03,33,late
E07000123,2022-01-02,2022-01-03,33,late
E07000154,2022-01-01,2022-01-03,33,late
E07000164,2022-01-01,2022-01-03,33,late
E07000165,2022-01-01,2022-01-03,33,late
E07000166,2022-01-02,2022-01-03,33,late
E07000188,2022-01-01,2022-01-03,33,late
E07000195,2022-01-03,2022-01-03,33,late
E07000235,2022-01-02,2022-01-03,33,late
E07000246,2022-01-01,2022-01-03,33,late
E08000017,2022-01-02,2022-01-03,33,late
E08000022,2022-01-02,2022-01-03,33,late
E08000025,2022-01-04,2022-01-03,33,late
E08000026,2022-01-04,2022-01-03,33,late
E08000028,2022-01-03,2022-01-03,33,late
E08000030,2022-01-01,2022-01-03,33,late
E08000034,2022-01-01,2022-01-03,33,late
E08000036,2022-01-01,2022-01-03,33,late
E06000003,2022-01-02,2022-01-03,33,late
E06000021,2022-01-02,2022-01-03,33,late
E06000027,2022-01-06,2022-01-03,33,late
E06000039,2022-01-03,2022-01-03,33,late
E06000046,2022-01-05,2022-01-03,33,late
E07000150,2022-01-02,2022-01-03,33,late
E07000168,2022-01-02,2022-01-03,33,late
E07000239,2022-01-02,2022-01-03,33,late
E08000037,2022-01-03,2022-01-03,33,late
E06000001,2022-01-03,2022-01-04,34,late
E06000002,2022-01-02,2022-01-04,34,late
E06000005,2022-01-05,2022-01-04,34,late
E06000047,2022-01-03,2022-01-04,34,late
E06000057,2022-01-03,2022-01-04,34,late
E07000193,2022-01-03,2022-01-04,34,late
E08000021,2022-01-05,2022-01-04,34,late
E08000024,2022-01-05,2022-01-04,34,late
E08000023,2022-01-05,2022-01-04,34,late
E08000032,2022-01-05,2022-01-04,34,late
