ltla	betweenCentral
E08000025	0.04714475431606905
E08000018	0.011920571681527856
E08000027	1e-06
E07000089	1e-06
E07000179	0.08002908998924935
E09000008	0.0009802061594890278
E09000010	0.012805919180421172
E09000003	0.02934294567760703
E07000240	1e-06
E06000049	0.031208499335989372
E06000054	0.02589641434262948
E07000110	0.11888952127995951
E07000068	0.01509833681148422
E08000021	0.08840827167520394
E09000013	0.009074811863656485
E07000040	1e-06
E08000033	1e-06
E07000109	1e-06
E09000033	0.23145513185353822
E09000006	0.01565167899829254
E09000014	0.004648074369189906
E07000187	1e-06
E07000041	0.023588186934800477
E06000023	0.05248845886296085
E07000241	0.007904888382976032
E06000032	1e-06
E07000152	1e-06
E08000029	0.0842977297160564
E09000018	0.0819262632011636
E07000239	0.017896667299057735
E07000220	0.012805919180421172
E08000031	0.081135774362866
E08000028	0.0003161955353190413
E09000009	0.011351419717953582
E07000221	0.06390311768797824
E08000007	0.018339341048504394
E07000032	0.007999747043571745
E06000060	0.04003035477139062
E06000031	0.06244861822551065
E06000016	0.14054891544931383
E06000021	0.019857079618035792
E09000015	0.02175425282995004
E08000036	0.0008853474988933155
E07000132	0.0025611838360842343
E07000134	1e-06
E07000180	0.007904888382976032
E06000020	1e-06
E08000009	1e-06
E07000102	0.015967874533611585
E07000237	0.007904888382976032
E06000015	0.0026560424966799467
E07000172	0.0023714665148928094
E08000030	1e-06
E08000035	0.1110794915575792
E08000010	0.01906659077973819
E08000004	1e-06
E07000246	0.031240118889521277
E08000026	1e-06
E07000219	0.0001264782141276165
E07000236	0.004837791690381331
E08000001	0.016442167836590145
E07000238	0.06418769366976537
E07000194	0.00543856320748751
E07000192	1e-06
E06000051	1e-06
E06000003	1e-06
E08000005	0.032093846834882686
E07000151	0.012774299626889267
E07000129	0.0010750648200847403
E07000096	1e-06
E07000114	1e-06
E07000218	1e-06
E06000018	0.030765825586542714
E07000234	1e-06
E06000056	0.017327515335483462
E06000019	0.002814140264339467
E09000021	0.08407639284133307
E07000202	1e-06
E07000103	0.07863782963384557
E07000026	1e-06
E09000024	0.014165559982293048
E09000022	0.02115348131284386
E07000095	0.046638841459558586
E06000057	0.01938278631505723
E06000047	1e-06
E08000022	1e-06
E07000036	0.007904888382976032
E06000005	0.007904888382976032
E07000178	0.03089230380067033
E09000025	0.023714665148928095
E08000003	0.028267880857522288
E08000024	0.01049769177259217
E07000229	0.008284323025358881
E07000061	1e-06
E06000014	0.03999873521785872
E09000019	0.1536552203882881
E06000046	1e-06
E06000041	1e-06
E06000058	0.015746537658888254
E08000032	0.013564788465186871
E07000242	1e-06
E09000032	0.013722886232846392
E09000012	0.18358312780623537
E09000029	0.0066401062416998665
E09000023	0.0023398469613609054
E07000155	1e-06
E06000007	1e-06
E07000213	0.10257383165749699
E06000004	0.04433061405172958
E08000006	0.02804654398279896
E07000163	0.01641054828305824
E06000059	0.007904888382976032
E09000028	0.10655789540251691
E07000130	0.007904888382976032
E09000005	1e-06
E07000065	0.00044267374944665776
E07000106	6.323910706380825e-05
E07000039	1e-06
E07000011	1e-06
E08000023	NA
E08000019	0.00904319231012458
E06000044	0.018655536583823434
E07000165	1e-06
E06000013	1e-06
E07000071	0.011509517485613102
E07000154	0.08423449060899259
E06000035	1e-06
E07000215	0.01565167899829254
E08000037	0.03740593182824258
E07000098	1e-06
E08000014	0.008695377221273635
E07000131	1e-06
E09000017	0.21131347625371527
E06000055	0.018529058369695817
E07000099	1e-06
E06000043	1e-06
E07000199	0.014703092392335419
E08000017	0.05470182761019414
E08000016	1e-06
E09000016	0.001027635489786884
E07000140	1e-06
E09000030	0.0003794346423828495
E06000045	0.08986277113767153
E07000093	0.007904888382976032
E09000002	1e-06
E07000243	0.08673243533801302
E09000004	0.0025295642825523303
E07000081	1e-06
E09000026	0.005817997849870359
