ltla	betweenCentral
E07000213	0.022472023593099827
E09000028	0.07446572132670787
E09000014	0.0014139700238354946
E07000211	0.011190562760069486
E08000003	0.0661636973296166
E07000109	0.0
E09000022	0.03209711954106573
E09000024	0.0006059871530723548
E07000098	0.0
E07000063	0.0
E06000051	0.007595038985173514
E07000071	0.05167050458530279
E08000026	0.022179129802448187
E09000025	0.09013048923362825
E09000004	0.014301296812507575
E07000245	0.010220983315153719
E09000033	0.3002060356320446
E09000010	0.00020199571769078495
E09000002	0.0
E09000027	0.016482850563568054
E07000207	0.0
E09000005	0.0
E06000043	0.0005251888659960409
E09000032	0.050943320001615965
E09000011	0.025693855290267846
E09000008	0.0027471417605946756
E06000032	0.00028279400476709894
E09000012	0.07498081040681938
E09000006	0.017129236860178563
E09000009	0.020785359350381772
E07000212	0.007433442411020886
E07000042	0.006221468104876176
E06000027	0.0
E07000045	0.008807013291318224
E09000021	0.0
E07000164	0.0
E06000059	0.0
E07000225	0.0
E07000147	0.008807013291318224
E07000047	0.017533228295560133
E07000241	0.008807013291318224
E07000165	8.079828707631398e-05
E07000094	0.0
E07000181	0.0
E06000047	0.008807013291318224
E06000026	0.0
E07000239	0.009776592736233991
E07000044	0.0
E07000041	0.03486446087342948
E09000026	0.029329778208701977
E09000015	0.0008079828707631398
E06000044	0.00739304326748273
E07000029	0.0
E09000017	0.21831697168020037
E07000011	0.004726699793964368
E07000026	4.039914353815699e-05
E09000018	0.03635922918434129
E06000020	0.0
E06000031	0.02779461075425201
E07000010	0.0
E09000029	0.0
E09000003	0.09655395305619521
E07000218	0.0
E09000020	0.0010503777319920819
E06000052	0.008807013291318224
E07000085	0.005049892942269624
E09000007	0.18989617420110694
E07000146	0.04771138851856341
E07000192	0.0
E07000070	0.017371631721407505
E07000214	0.0
E07000119	0.0
E08000004	0.0
E08000028	0.010786571324687917
E08000008	0.0
E09000031	0.03498565830404395
E07000103	0.04144952127014907
E08000007	0.01005938674100109
E09000019	0.028875287843897708
E07000068	0.01757362743909829
E06000057	0.0
E06000011	0.0
E07000237	0.0032319314830525593
E06000010	0.011342059548337575
E06000045	0.16733325253504625
E07000069	0.0
E06000016	0.07876823011352159
E07000172	0.010180584171615562
E08000027	0.0
E06000030	0.006867854401486688
E06000035	0.0
E07000246	0.01409930109481679
E07000220	0.005524582878842968
E07000243	0.09332202157314265
E07000107	0.0
E07000130	0.0
E06000034	0.0071506484062537875
E06000054	0.08580778087504545
E06000058	0.04847897224578839
E07000066	0.0
E06000007	0.0
E07000065	0.0030602351230153923
E09000030	0.00016159657415262796
E07000095	0.007675837272249828
E07000242	0.00016159657415262796
E08000005	0.02617864501272573
E06000033	0.0
E07000136	0.008807013291318224
E07000073	0.0
E06000022	0.0
E07000089	0.008807013291318224
E07000008	0.01369530965943522
E07000154	0.0004039914353815699
E07000032	0.041661616773724396
E07000228	0.021785238152951157
E07000149	0.0
E07000113	0.0
E07000075	0.009291803013776108
E07000072	0.009089807296085323
E07000209	0.11315800105037774
E08000011	0.008807013291318224
E07000134	0.0
E07000080	0.0
E08000037	0.02617864501272573
E07000198	0.0
E07000133	0.0
E07000144	0.0
E06000039	0.0
E07000116	0.0
E07000173	0.0
E06000050	0.0
E06000041	0.0
E07000084	0.0013735708802973378
E07000177	0.023673898113359997
E06000060	0.008807013291318224
E08000032	0.0
E07000096	0.0
E07000196	0.027107825314103343
E06000042	0.0
E08000035	0.06148749646507494
E08000024	0.008807013291318224
E07000217	0.11033006100270674
E06000012	0.0
E07000137	0.0
E07000061	0.014584090817274674
E08000025	0.12863087302549187
E08000021	0.0
E06000019	0.009453399587928736
E07000195	0.0
E07000106	0.0
E07000179	0.11836949056679999
E09000013	0.013897305377126004
E06000056	0.048095180382175896
E06000023	0.08536339029612572
E07000129	0.0025855451864420474
E06000025	0.0
E07000235	0.0
E07000081	0.0029895366218236174
E07000099	0.0
E07000091	0.0
E07000074	0.0005655880095341979
E06000018	0.09781642629176261
E08000019	0.010624974750535289
E08000029	0.0072314466933301015
E08000030	0.0
E07000110	0.0012523734496828667
E07000108	0.0
E07000174	0.009211004726699794
E07000170	0.0
E08000018	0.0
E07000033	0.024643477558275763
E08000012	0.02831979962024805
E08000014	0.0
E07000208	0.0
E07000111	0.0
E07000216	0.0
E07000169	8.079828707631398e-05
E07000197	0.02605744758211126
E08000009	4.039914353815699e-05
E06000046	0.008807013291318224
E07000046	0.0
E09000023	0.007958631277016927
E07000078	0.0
E07000141	0.02634024158687836
E07000140	0.004039914353815699
E06000006	0.017533228295560133
E07000132	0.0
E07000152	0.0
E07000076	0.0
E08000034	0.0
E06000001	0.017533228295560133
E07000189	0.013978103664202319
E07000153	0.0
E07000226	0.021159051428109723
E07000219	0.0
E07000221	0.044075465600129274
E06000049	0.0
E07000012	0.00791823213347877
E07000090	0.0016563648850644367
E07000238	0.07162768149315235
E07000187	0.0
E07000224	0.0
E06000038	0.10607805114531572
E06000036	0.0
E07000240	0.005130691229345938
E07000229	0.014594190603159213
E08000022	0.0
E07000115	0.003878317779663071
E07000086	4.039914353815699e-05
E07000031	0.0
E07000227	0.008807013291318224
E07000188	0.0
E07000038	0.008807013291318224
E07000148	0.05627600694865269
E07000244	0.00953419787500505
E06000014	0.04084353411707672
E07000093	0.0005251888659960409
E07000040	0.011594554195451056
E07000088	0.0
E07000200	0.0
E07000118	0.0
E07000155	0.0
E06000037	0.0014543691673736517
E06000055	0.014947683109118086
