ltla	pop
E07000035	72422
E07000039	109516
E07000193	120923
E07000194	105637
E09000025	355266
E07000070	179549
E09000014	266357
E07000066	187558
E09000029	207707
E09000016	260651
E09000024	206453
E06000034	175531
E09000026	305658
E06000040	151273
E09000022	321813
E07000012	160904
E07000078	116043
E07000203	104857
E09000004	249301
E07000148	142177
E06000019	193615
E07000215	88542
E06000024	215574
E07000043	98170
E07000145	99198
E06000015	256814
E07000224	161123
E06000018	337098
E09000032	329735
E06000060	547060
E07000240	149317
E07000228	152142
E07000090	126339
E07000105	131018
E07000149	143066
E06000038	160337
E07000217	100008
E09000002	214107
E09000031	276940
E06000042	270203
E07000222	144909
E07000216	126556
E07000202	135979
E07000147	105167
E07000144	131931
E08000019	589214
E07000069	90524
E06000014	211012
E09000023	305309
E08000028	329042
E06000054	504070
E07000153	102211
E07000214	89204
E07000124	62026
E07000093	127163
E07000011	178985
E09000012	280941
E09000003	399007
E09000015	252338
E09000010	333587
E09000005	327753
E07000098	105471
E06000051	325415
E07000106	166762
E06000030	222881
E07000176	121416
E08000032	542128
E06000047	533149
E08000036	351592
E08000024	277846
E06000002	141285
E09000007	279516
E07000137	142030
E09000033	269848
E06000033	182773
E09000013	183544
E07000225	121508
E09000028	320017
E09000017	309014
E09000021	179142
E07000091	179649
E06000020	181322
E09000018	271767
E07000130	188416
E07000244	250373
E06000023	465866
E08000034	441290
E07000116	118939
E06000022	196357
E07000065	162733
E07000143	141255
E07000084	177760
E08000010	330712
E06000031	202626
E08000004	237628
E07000112	113320
E07000109	106890
E06000056	294096
E07000062	92554
E07000165	161545
E08000015	324336
E06000035	279142
E08000035	798786
E08000012	500474
E07000120	81133
E07000083	96624
E06000026	262839
E07000177	151846
E06000039	149577
E07000168	108737
E07000212	90327
E07000089	97608
E08000026	379387
E07000037	92633
E08000016	248071
E06000041	173945
E08000014	275899
E07000126	111086
E07000102	93966
E07000139	118149
E07000123	144147
E07000008	125063
E07000138	100049
E07000235	79445
E06000059	379791
E07000061	103324
E07000242	151786
E07000195	129610
E06000057	323820
E08000037	201950
E07000096	155457
E07000032	128829
E09000030	331969
E07000087	116338
E07000243	88104
E07000179	143782
E07000074	65401
E07000086	135520
E06000058	396989
E07000110	173132
E07000113	151015
E06000052	573299
E07000041	133333
E06000043	291738
E07000107	114051
E07000146	151245
E07000071	197200
E06000036	124165
E07000207	137215
E09000011	289034
E07000209	150352
E09000027	198141
E08000031	264407
E09000006	332752
E07000188	123446
E07000229	110727
E06000045	252872
E07000211	149243
E07000063	103525
E09000009	340341
E08000025	1140525
E07000134	104809
E07000073	87280
E09000019	248115
E06000032	213528
E07000136	70837
E07000064	96716
E06000005	107402
E08000022	208871
E09000020	156864
E07000085	123838
E07000210	87547
E07000237	100265
E07000241	123893
E06000012	159364
E08000017	312785
E07000245	177302
E06000010	259126
E07000081	129709
E07000099	133463
E07000079	90264
E07000213	99873
E07000221	132402
E07000199	76864
E07000042	83290
E07000236	85568
E06000016	354036
E07000076	147353
E07000067	153091
E08000003	555741
E06000011	343201
E06000044	214692
E07000009	90172
E07000075	87627
E07000010	102080
E08000008	227117
E07000114	141458
E07000072	132175
E08000029	217487
E06000037	158465
E07000227	145474
E08000011	152452
E07000141	143225
E07000142	96186
E07000175	123127
E07000208	81003
E06000050	343823
E07000180	137910
E08000033	211439
E06000025	287816
E08000030	286716
E07000108	118514
E07000121	148119
E06000055	174687
E06000003	137228
E06000013	172748
